device,elapsed_seconds,ipc_mean,kernel_ref,postprocess_error,quality_json,repetition,success,target_windows_per_repetition,windows_achieved
gpu,1.2712437538430095,,rodinia_backprop,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 823, ""pmu_degraded"": 15, ""gpu_telemetry"": 151}",6,True,5,151
gpu,1.2710201647132635,,rodinia_backprop,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 827, ""pmu_degraded"": 14, ""gpu_telemetry"": 152}",7,True,5,152
gpu,1.2721399581059813,,rodinia_backprop,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 816, ""pmu_degraded"": 15, ""gpu_telemetry"": 149}",8,True,5,149
gpu,1.2719291914254427,,rodinia_backprop,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 817, ""pmu_degraded"": 14, ""gpu_telemetry"": 140}",9,True,5,140
gpu,1.2713202824816108,,rodinia_backprop,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 815, ""pmu_degraded"": 15, ""gpu_telemetry"": 148}",10,True,5,148
gpu,5.931407292373478,,rodinia_lavamd,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 3739, ""pmu_degraded"": 1507, ""intensity_undefined"": 268, ""gpu_telemetry"": 922}",1,True,5,922
gpu,5.932781455107033,,rodinia_lavamd,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 3744, ""pmu_degraded"": 1508, ""intensity_undefined"": 268, ""gpu_telemetry"": 994}",2,True,5,994
gpu,5.985745119862258,,rodinia_lavamd,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 3761, ""pmu_degraded"": 1507, ""intensity_undefined"": 268, ""gpu_telemetry"": 996}",3,True,5,996
gpu,5.932110494934022,,rodinia_lavamd,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 3734, ""pmu_degraded"": 1506, ""intensity_undefined"": 269, ""gpu_telemetry"": 997}",4,True,5,997
gpu,5.932342090643942,,rodinia_lavamd,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 3746, ""pmu_degraded"": 1507, ""intensity_undefined"": 268, ""gpu_telemetry"": 1000}",5,True,5,1000
gpu,5.934629198163748,,rodinia_lavamd,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 3743, ""pmu_degraded"": 1507, ""intensity_undefined"": 266, ""gpu_telemetry"": 992}",6,True,5,992
gpu,5.9307746514678,,rodinia_lavamd,,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 3742, ""pmu_degraded"": 1506, ""intensity_undefined"": 267, ""gpu_telemetry"": 992}",7,True,5,992
