kernel_ref,freq_level_id,phase_label_train,operational_intensity_uncore_real,performance_flops_per_s
cpu_rajaperf_apps_edge3d,F8,compute_bound,192.7466673134414,8439190257.502891
npb_lu,F8,compute_bound,5.350792656734213,6001255141.54832
rajaperf_polybench_3mm_omp,F8,compute_bound,37.72147987387107,2335343064.8897038
cpu_rajaperf_basic_pi_reduce,F8,compute_bound,262.4766054426777,6585637417.492493
dual_stencil_cpu_N512,F8,compute_bound,27.409066666666668,1811430154.4107888
npb_lu,F8,compute_bound,8.090547815479306,6009896657.941084
cpu_rajaperf_basic_trap_int,F8,compute_bound,113.49011560180068,3478696864.1452374
npb_bt,F8,compute_bound,6.399008646078761,6694706154.734849
cpu_rajaperf_basic_pi_reduce,F8,compute_bound,248.3114398456277,6603150327.774418
dual_fft_cpu_N128,F8,compute_bound,201.392704198872,4738590723.402111
cpu_rajaperf_apps_edge3d,F8,compute_bound,196.1096509180213,8433830769.455638
cpu_rajaperf_basic_pi_reduce,F8,compute_bound,252.9002223902789,6193687404.725849
npb_lu,F8,compute_bound,6.089514525726723,6001130900.416424
cpu_rajaperf_basic_trap_int,F8,compute_bound,154.77189793330456,3465170605.8565297
npb_bt,F8,compute_bound,6.346248205353555,6308462119.596834
phasic_p1000,F8,compute_bound,3293.2257238700563,74642114743.18213
dual_cholesky_cpu_N1024,F8,compute_bound,4.419182119598773,5543122732.9534
cpu_cholmod,F8,compute_bound,5.385780825118967,26531961212.78901
cpu_rajaperf_apps_mass3dpa,F8,compute_bound,37.063757306892605,14973454996.23111
cpu_rajaperf_apps_edge3d,F8,compute_bound,189.60729363641136,8697996058.365349
cpu_rajaperf_apps_fir,F8,compute_bound,25.77550675236842,7165959975.013066
cpu_cholmod,F8,compute_bound,18.05947032091932,113680585528.68437
cpu_cholmod,F8,compute_bound,2.997666811683413,7737888514.006986
cpu_rajaperf_apps_edge3d,F8,compute_bound,177.5164920443715,8259205574.621044
npb_lu,F8,compute_bound,4.160649914821124,6014906574.736401
npb_bt,F8,compute_bound,6.379120688417071,6701993100.292834
