fold,regime,resource_state,k,selected_baseline,selected_baseline_edp_sum_ratio_vs_oracle,selected_direct_name,selected_direct_edp_sum_ratio_vs_oracle,selected_structured_name,selected_structured_edp_sum_ratio_vs_oracle,winner_formulation,winner_edp_sum_ratio_vs_oracle,n,oracle_edp_sum_js,selected_baseline_edp_sum_js,selected_direct_edp_sum_js,selected_structured_edp_sum_js,winner_edp_sum_js,improvement_pct_over_best_baseline,beats_baseline_above_noise_floor
extrapolation_top1,extrapolation,none_ready,100,intensity_threshold_train,1.0,random_forest+probe,1.0,elasticnet,1.0,direct,1.0,6,22342.677545452185,22342.677545452185,22342.677545452185,22342.677545452185,22342.677545452185,0.0,False
extrapolation_top1,extrapolation,none_ready,1000,intensity_threshold_train,1.0,random_forest+probe,1.0,elasticnet,1.0,direct,1.0,6,1978280.3671749576,1978280.3671749576,1978280.3671749576,1978280.3671749576,1978280.3671749576,0.0,False
extrapolation_top2,extrapolation,cpu_ready,1,always_cpu_ref,1.0,random_forest+probe,1.0,elasticnet,1.0,direct,1.0,12,44.65234384429675,44.65234384429675,44.65234384429675,44.65234384429675,44.65234384429675,0.0,False
extrapolation_top2,extrapolation,cpu_ready,2,always_cpu_ref,1.0485223737219873,random_forest+probe,1.0485223737219873,elasticnet,1.0485223737219873,direct,1.0485223737219873,12,170.34388569427395,178.609375377187,178.609375377187,178.609375377187,178.609375377187,0.0,False
extrapolation_top2,extrapolation,cpu_ready,3,intensity_threshold_train,1.6134882554641985,random_forest+probe,1.4447534801034745,elasticnet,1.0,structured,1.0,12,278.15893862383257,448.8061806219406,401.8710945986708,278.15893862383257,278.15893862383257,38.02248038599443,True
extrapolation_top2,extrapolation,cpu_ready,5,intensity_threshold_train,1.133207603979171,random_forest+probe,2.21448878793425,elasticnet,1.1251649558453531,structured,1.1251649558453531,12,504.09313525978575,571.24217399009,1116.308596107419,567.1879302765225,567.1879302765225,0.7097241587134318,False
extrapolation_top2,extrapolation,cpu_ready,10,intensity_threshold_train,1.0,random_forest+probe,4.642376669228685,elasticnet,1.4703007635002583,structured,1.4703007635002583,12,961.8423283114507,961.8423283114504,4465.234384429676,1414.197509683192,1414.197509683192,-47.03007635002583,False
extrapolation_top2,extrapolation,cpu_ready,30,intensity_threshold_train,1.0,random_forest+probe,1.0,elasticnet,2.6054067080187364,direct,1.0,12,3731.531101325273,3731.531101325273,3731.531101325273,9722.15616257341,3731.531101325273,0.0,False
extrapolation_top2,extrapolation,cpu_ready,100,intensity_threshold_train,1.0,random_forest+probe,1.0,elasticnet,1.0,direct,1.0,12,28637.27256905126,28637.27256905126,28637.27256905126,28637.27256905126,28637.27256905126,0.0,False
extrapolation_top2,extrapolation,cpu_ready,1000,intensity_threshold_train,1.0,random_forest+probe,1.0,elasticnet,1.0,direct,1.0,12,2456779.0684844246,2456779.0684844246,2456779.0684844246,2456779.0684844246,2456779.0684844246,0.0,False
extrapolation_top2,extrapolation,gpu_ready,1,intensity_threshold_train,1.0040179584807802,random_forest+probe,6.604513684851582,elasticnet,1.0136169657241128,structured,1.0136169657241128,12,3.2019585227757386,3.2148238591774314,21.14737888199952,3.2455594822304064,3.2455594822304064,-0.956059317689606,False
extrapolation_top2,extrapolation,gpu_ready,2,intensity_threshold_train,1.0,random_forest+probe,7.731239623641513,elasticnet,1.031301480609201,structured,1.031301480609201,12,10.968122991351583,10.968122991351583,84.79718706771084,11.311441480484705,11.311441480484705,-3.1301480609200905,False
extrapolation_top2,extrapolation,gpu_ready,3,intensity_threshold_train,1.0,random_forest+probe,8.11086086536335,elasticnet,1.0073799986104586,structured,1.0073799986104586,12,23.550574746439256,23.550574746439253,191.01543506770847,23.724377955343478,23.724377955343478,-0.7379998610458571,False
extrapolation_top2,extrapolation,gpu_ready,5,intensity_threshold_train,1.0,random_forest+probe,8.403996444992345,elasticnet,1.009560300619276,structured,1.009560300619276,12,63.20293612535518,63.20293612535518,531.1572505105631,63.80717519473447,63.80717519473447,-0.956030061927593,False
extrapolation_top2,extrapolation,gpu_ready,10,intensity_threshold_train,1.0,random_forest+probe,1.048898454444778,elasticnet,1.0,structured,1.0,12,246.8440104736317,246.8440104736317,258.9143010747429,246.8440104736317,246.8440104736317,0.0,False
