fold,regime,resource_state,k,method,name,with_probe,abstention_rate,startup_mode_cpu_e,startup_mode_cpu_t,startup_mode_gpu_e,startup_mode_gpu_t,n,accuracy,balanced_accuracy,mcc,precision_migrate_gpu,recall_migrate_gpu,tp_gpu,fp_gpu,fn_gpu,tn_cpu,regret_ratio_mean,regret_ratio_median,regret_ratio_p95,regret_ratio_max,oracle_savings_captured_pct,edp_sum_js,edp_sum_ratio_vs_oracle
interpolation_fold0,interpolation,cpu_ready,10,model_structured,tree,False,0.0,per_operation,per_operation,constant,constant,20,0.95,0.95,,0.0,,0,1,0,19,1.1196929751046523,1.0,1.1196929751046538,3.3938595020930427,95.0,194.6267587479574,1.5005606679027816
interpolation_fold0,interpolation,cpu_ready,30,model_structured,tree,False,0.0,per_operation,per_operation,constant,constant,20,0.8,0.6078431372549019,0.21568627450980393,0.3333333333333333,0.3333333333333333,1,2,2,15,5.959925024330052,1.0,23.2565157280747,75.26201805366195,80.0,1210.848134645322,2.7728432265492775
interpolation_fold0,interpolation,cpu_ready,100,model_structured,tree,False,0.0,per_operation,per_operation,constant,constant,20,0.85,0.7745098039215685,0.4900980294098034,0.5,0.6666666666666666,2,2,1,15,1.7532356433211902,1.0,5.590039232350821,9.921517547351495,85.0,4630.796497628572,2.754049195531782
interpolation_fold0,interpolation,cpu_ready,1000,model_structured,tree,False,0.0,per_operation,per_operation,constant,constant,20,0.8,0.7333333333333334,0.4666666666666667,0.6,0.6,3,2,2,13,4.6732016954322955,1.0,11.740888583180025,62.72296447585866,80.0,396895.72793179384,4.571675599001956
interpolation_fold0,interpolation,gpu_ready,1,model_structured,tree,False,0.0,per_operation,per_operation,constant,constant,20,0.9,0.7222222222222222,0.4444444444444444,0.9444444444444444,0.9444444444444444,17,1,1,1,1.6150414050602684,1.0,7.048763330755913,7.263359294876873,90.0,0.10480604649002706,1.000770224204777
interpolation_fold0,interpolation,gpu_ready,2,model_structured,tree,False,0.0,per_operation,per_operation,constant,constant,20,0.9,0.7222222222222222,0.4444444444444444,0.9444444444444444,0.9444444444444444,17,1,1,1,1.4620053366219565,1.0,2.3193151383005617,9.287540286129575,90.0,0.4189339706662946,1.0001288455738424
interpolation_fold0,interpolation,gpu_ready,3,model_structured,tree,False,0.0,per_operation,per_operation,constant,constant,20,0.9,0.75,0.6666666666666666,0.8888888888888888,1.0,16,2,0,2,1.502729671059667,1.0,2.122252355013988,10.366234883466324,90.0,0.9424656544382339,1.083106454411606
interpolation_fold0,interpolation,gpu_ready,5,model_structured,tree,False,0.05,per_operation,per_operation,constant,constant,20,0.8,0.6666666666666667,0.40422604172722165,0.8235294117647058,0.9333333333333333,14,3,1,2,2.205014944577723,1.0,11.44122306484731,11.932803131688797,80.0,2.743684882359842,1.2137688902614394
interpolation_fold0,interpolation,gpu_ready,10,model_structured,tree,False,0.05,per_operation,per_operation,constant,constant,20,0.75,0.7087912087912087,0.43463356032809364,0.7857142857142857,0.8461538461538461,11,3,2,4,2.602220590893291,1.0,10.577631818468527,12.344309788405862,75.0,42.555284106630154,5.075971529142864
interpolation_fold0,interpolation,gpu_ready,30,model_structured,tree,False,0.0,per_operation,per_operation,constant,constant,20,0.8,0.8,0.6,0.8,0.8,8,2,2,8,2.6857991760286923,1.0,10.108033414702872,13.047815006844582,80.0,362.37554728604016,5.009465757028792
interpolation_fold0,interpolation,gpu_ready,100,model_structured,tree,False,0.0,per_operation,per_operation,constant,constant,20,0.8,0.7916666666666667,0.5833333333333334,0.75,0.75,6,2,2,10,2.8151928661161163,1.0,9.947612386144728,13.312463385074329,80.0,3948.435135827643,4.981242171634368
