config_id,operation,size,log10_n,flops_per_dispatch_analytic,log10_flops_per_dispatch,logical_bytes_per_dispatch,log10_logical_bytes,arithmetic_intensity_analytic,cpu_e_cold,log_cpu_e_cold,cpu_t_cold,log_cpu_t_cold,cpu_e_warm,log_cpu_e_warm,cpu_t_warm,log_cpu_t_warm,cpu_startup_e,cpu_startup_t,gpu_e_cold,log_gpu_e_cold,gpu_t_cold,log_gpu_t_cold,gpu_e_warm,log_gpu_e_warm,gpu_t_warm,log_gpu_t_warm,gpu_startup_e,gpu_startup_t
gemm_N192,gemm,192,2.2833012287035497,14155776.0,7.15093368177463,884736.0,5.946813699118705,16.0,0.1891072643738411,-1.6654408885408223,0.001710639,-6.370888294059598,0.0103431638652697,-4.571429473603618,6.078625985539564e-05,-9.708146783752031,0.1787641005085714,0.0016498527401446043,91.983575102541,4.5216100296162764,0.6468761193333333,-0.43560047215952985,0.0484370550499098,-3.027490157977142,0.0003124012383401,-8.071222176049814,91.93513804749108,0.6465637180949932
gemm_N2048,gemm,2048,3.3113299523037933,17179869184.0,10.23501985257536,100663296.0,8.002871146319192,170.66666666666666,7.299330209231911,1.9877825917848464,0.0388603176666666,-3.247781660422236,7.243449705788563,1.9800975716177727,0.0374422213333333,-3.2849562986483996,0.055880503443348495,0.001418096333333299,95.81358417859084,4.562404472195835,0.6885383806666666,-0.37318421702703,2.2358990446546643,0.8046434042980093,0.0117097450207253,-4.4473338760993055,93.57768513393619,0.6768286356459413
gemm_N256,gemm,256,2.4082399653118496,33554432.0,7.52574989159953,1572864.0,6.1966911723353055,21.333333333333332,0.2671730958670513,-1.319858531509453,0.0016492063333333,-6.407461116893147,0.0239293373307034,-3.7326500694342784,0.0001389985634506,-8.881046959774757,0.2432437585363479,0.0015102077698827,99.94192677093622,4.604589285007145,0.716717543,-0.3330734588156674,0.0762557281908671,-2.573662742501618,0.0004683063160978,-7.666387954575959,99.86567104274535,0.7162492366839022
gemm_N3072,gemm,3072,3.4874212113594742,57982058496.0,10.763293629742405,226492416.0,8.355053664430555,256.0,22.590650104199785,3.1175361084721867,0.1174530413333333,-2.14171667350551,22.70186014024757,3.122446865634388,0.1165679734615384,-2.1492807129356772,-0.11121003604778679,0.0008850678717949034,91.22316984506185,4.513308920132359,0.6259715083333334,-0.46845042276234033,5.530179286625238,1.710220235736594,0.0269110324141414,-3.6152189495336464,85.6929905584366,0.599060475919192
gemm_N384,gemm,384,2.584331224367531,113246208.0,8.054023668766574,3538944.0,6.548873690446667,32.0,0.3008318246198677,-1.2012038925697996,0.0020400786666666,-6.19476690977804,0.0543122818173446,-2.913004893136616,0.0002934035395242,-8.133961628510164,0.24651954280252308,0.0017466751271423997,99.9620671539418,4.60479078556427,0.7017795133333333,-0.3541360078616513,0.1143133738737787,-2.168811708256413,0.0007142363347368,-7.244296649361513,99.84775378006802,0.7010652769985966
gemm_N4096,gemm,4096,3.612359947967774,137438953472.0,11.138109839567305,402653184.0,8.604931137647155,341.3333333333333,53.71958960295775,3.9837777320681065,0.2755312286666667,-1.2890543041210238,53.21652191911159,3.9743689105223976,0.2746580655,-1.292228353158282,0.5030676838461545,0.0008731631666666906,93.90736889851836,4.542308859157695,0.622168204,-0.4745447983637561,10.64423950878482,2.3650188546271087,0.0490463366436781,-3.0149897819234606,83.26312938973354,0.5731218673563219
gemm_N512,gemm,512,2.709269960975831,268435456.0,8.428839878591473,6291456.0,6.798751163663267,42.666666666666664,0.3286854069105543,-1.1126541956755027,0.0025043163333333,-5.989739502520004,0.138682832412876,-1.975565734283344,0.0007566624517809,-7.1865933065060625,0.19000257449767832,0.0017476538815524001,98.58752809548712,4.590944763704285,0.71460188,-0.33602970255385894,0.163646205322192,-1.8100484660691896,0.0010044072115594,-6.903357750739077,98.42388189016492,0.7135974727884407
gemm_N64,gemm,64,1.806179973983887,524288.0,5.719569917615643,98304.0,4.9925711896793805,5.333333333333333,0.0021577289795196,-6.13869900876361,3.2103333333333335e-05,-10.34655069105961,0.0010153169580512,-6.892554441293677,7.973333943782091e-06,-11.739407840988656,0.0011424120214683997,2.4129999389551244e-05,99.44458537884933,4.599600558155111,0.7133521979999999,-0.337780014189641,0.015346762452371,-4.176850742349644,9.938836444444444e-05,-9.216475509056531,99.42923861639696,0.7132528096355555
gemm_N768,gemm,768,2.885361220031512,905969664.0,8.957113655758517,14155776.0,7.15093368177463,64.0,0.5137241927765935,-0.6660687474716748,0.0036720096666666,-5.607016173692881,0.409706008323492,-0.8923154293586847,0.0021753044307766,-6.130586656062971,0.10401818445310151,0.00149670523589,84.7780740331413,4.44003694843528,0.5933037886666667,-0.5220487199859197,0.3065141989009258,-1.182491198737854,0.0017654520689082,-6.339348491699456,84.47155983424037,0.5915383365977585
gemm_N96,gemm,96,1.9822712330395684,1769472.0,6.247843694782686,221184.0,5.344753707790743,8.0,0.0040476118955637,-5.509628227195185,5.645633333333333e-05,-9.78204307998012,0.0038950383937211,-5.548051742526724,3.0744744821634066e-05,-10.389791478426297,0.00015257350184260006,2.5711588511699265e-05,100.91768319453446,4.614305166657724,0.7362783976666666,-0.306146974075394,0.0157195798085935,-4.15284822207156,0.0001023026967521,-9.187574524141045,100.90196361472587,0.7361760949699144
spmv_N10000,spmv,10000,4.0,140000.0,5.146128035678238,1040004.0,6.01703500965896,0.13461486686589666,2.875000805550593,1.056052954440785,0.021788998,-3.8263501154794355,0.0013556584662123,-6.60346798976315,8.804402496124774e-06,-11.640258677929715,2.8736451470843805,0.021780193597503876,94.43599356616518,4.547922288256916,0.6750568663333333,-0.3929583452383845,0.0687828097798317,-2.6768014231137958,0.0004449104483665,-7.717637535675287,94.36721075638535,0.6746119558849668
spmv_N100000,spmv,100000,5.0,1400000.0,6.146128035678238,10400004.0,7.017033506335087,0.1346153328402566,2.6880484365510955,0.9888154420488117,0.0230915133333333,-3.7682901171253453,0.0146500062097131,-4.223314519647949,8.760491527101096e-05,-9.34267345119639,2.6733984303413822,0.02300390841806229,89.42821058013728,4.493436186990256,0.6013842473333333,-0.5085212020974418,0.2147303349631216,-1.5383722940773275,0.0013578260748955,-6.601870332498897,89.21348024517415,0.6000264212584377
spmv_N1000000,spmv,1000000,6.0,14000000.0,7.146128035678238,104000004.0,8.017033356002415,0.13461537943787003,3.102817524282841,1.132310577511772,0.0252702543333333,-3.678127292997411,0.2839143752755345,-1.2590825817885207,0.001672360009337,-6.393519470907802,2.8189031490073067,0.0235978943239963,91.06780808490794,4.511604372825247,0.6417673166666668,-0.4435294760863002,1.8072992190074613,0.5918335867271549,0.0109025479218683,-4.518758762763475,89.26050886590048,0.6308647687447985
spmv_N10000000,spmv,10000000,7.0,140000000.0,8.146128035678238,1040000004.0,9.017033340969144,0.13461538409763313,5.795800017196249,1.7571335202738443,0.0425767223333333,-3.156447599151024,2.9504901811029423,1.0819713196339151,0.0174711242095238,-4.047205806046622,2.8453098360933065,0.025105598123809504,85.73378294219815,4.451246947952966,0.58692398,-0.5328599735031831,17.219973533632594,2.84606996204327,0.1040220183888889,-2.263152686971503,68.51380940856555,0.4829019616111111
spmv_N31622777,spmv,31622777,7.500000005470314,442718878.0,8.646128041148552,3288768812.0,9.51703334529731,0.13461538445165722,13.485561796196912,2.601619616546813,0.0860733816666666,-2.4525550713671587,9.3394653901733,2.234249011863077,0.0552798967272727,-2.895345967699708,4.146096406023611,0.0307934849393939,130.29223248001497,4.869779869767674,0.82501879,-0.19234911714924394,53.71105813517557,3.9836189046202652,0.3261540114814814,-1.1203855813170305,76.58117434483941,0.4988647785185186
spmv_N3162278,spmv,3162278,6.500000046671104,44271892.0,7.6461280823493425,328876916.0,8.517033391252037,0.13461538297811088,3.271387225354065,1.1852141228869548,0.0266693406666666,-3.6242406630035693,0.9261674094488562,-0.0767002729343467,0.0054865587333333,-5.20545404452678,2.345219815905209,0.0211827819333333,87.12746918070188,4.467372209347126,0.602222109,-0.5071289498920624,5.466157280408871,1.6985758614074673,0.0332734713730769,-3.402994854957494,81.66131190029301,0.568948637626923
spmv_N316228,spmv,316228,5.500000321342935,4427192.0,6.6461283570211735,32887716.0,7.517033713463202,0.13461536824265935,2.672789249815074,0.9831225899837316,0.0227527323333333,-3.783070038232812,0.0782471649230998,-2.5478826812329327,0.0004581509010888,-7.688311949756339,2.594542084891974,0.022294581432244498,90.2152174698967,4.50219812093095,0.6417384793333333,-0.44357441134631725,0.5942969300510387,-0.520376202278192,0.0036234734235565,-5.620322203909477,89.62092053984566,0.6381150059097768
