kernel_ref,n_gpu_telemetry,n_windows_total,quality_json,repetition,run_dir
rodinia_dwt2d,21,2129,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 950, ""pmu_degraded"": 121, ""intensity_undefined"": 1036, ""gpu_telemetry"": 21}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_100000000/sweep_gpu_interval_100000000__rodinia_dwt2d__REF__rep03
rodinia_heartwall,4,317,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 277, ""pmu_degraded"": 16, ""intensity_undefined"": 19, ""gpu_telemetry"": 4}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_100000000/sweep_gpu_interval_100000000__rodinia_heartwall__REF__rep01
rodinia_heartwall,4,317,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 278, ""pmu_degraded"": 15, ""intensity_undefined"": 19, ""gpu_telemetry"": 4}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_100000000/sweep_gpu_interval_100000000__rodinia_heartwall__REF__rep02
rodinia_heartwall,4,314,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 278, ""pmu_degraded"": 15, ""intensity_undefined"": 16, ""gpu_telemetry"": 4}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_100000000/sweep_gpu_interval_100000000__rodinia_heartwall__REF__rep03
rodinia_hotspot,69,6987,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2204, ""pmu_degraded"": 597, ""intensity_undefined"": 4116, ""gpu_telemetry"": 69}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_100000000/sweep_gpu_interval_100000000__rodinia_hotspot__REF__rep01
rodinia_hotspot,69,6983,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2204, ""pmu_degraded"": 593, ""intensity_undefined"": 4116, ""gpu_telemetry"": 69}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_100000000/sweep_gpu_interval_100000000__rodinia_hotspot__REF__rep02
rodinia_hotspot,69,6991,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 2204, ""pmu_degraded"": 595, ""intensity_undefined"": 4122, ""gpu_telemetry"": 69}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_100000000/sweep_gpu_interval_100000000__rodinia_hotspot__REF__rep03
rodinia_lavamd,55,5573,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 3743, ""pmu_degraded"": 1506, ""intensity_undefined"": 268, ""gpu_telemetry"": 55}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_100000000/sweep_gpu_interval_100000000__rodinia_lavamd__REF__rep01
rodinia_lavamd,55,5578,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 3746, ""pmu_degraded"": 1506, ""intensity_undefined"": 270, ""gpu_telemetry"": 55}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_100000000/sweep_gpu_interval_100000000__rodinia_lavamd__REF__rep02
rodinia_lavamd,55,5580,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 3748, ""pmu_degraded"": 1507, ""intensity_undefined"": 269, ""gpu_telemetry"": 55}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_100000000/sweep_gpu_interval_100000000__rodinia_lavamd__REF__rep03
rodinia_lud,89,9047,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 975, ""pmu_degraded"": 25, ""intensity_undefined"": 7957, ""gpu_telemetry"": 89}",1,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_100000000/sweep_gpu_interval_100000000__rodinia_lud__REF__rep01
rodinia_lud,86,8664,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 974, ""pmu_degraded"": 26, ""intensity_undefined"": 7577, ""gpu_telemetry"": 86}",2,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_100000000/sweep_gpu_interval_100000000__rodinia_lud__REF__rep02
rodinia_lud,89,9030,"{""first_sample_no_delta"": 1, ""warmup_excluded"": 976, ""pmu_degraded"": 24, ""intensity_undefined"": 7940, ""gpu_telemetry"": 89}",3,/home/latorresn/hyperion-results/sweeps/gpu_interval_ns/gpu_interval_100000000/sweep_gpu_interval_100000000__rodinia_lud__REF__rep03
