fold,regime,resource_state,k,selected_baseline,selected_baseline_edp_sum_ratio_vs_oracle,selected_model,selected_model_edp_sum_ratio_vs_oracle,n,oracle_edp_sum_js,selected_baseline_edp_sum_js,selected_model_edp_sum_js,model_improvement_pct,model_beats_baseline_above_noise_floor,adopted_policy
extrapolation_top2,extrapolation,gpu_ready,1,intensity_threshold_train,1.0040179584807802,model_regression:random_forest+probe,6.604513684851582,12,3.201958522775738,3.2148238591774314,21.14737888199952,-557.8083219592144,False,baseline
extrapolation_top2,extrapolation,gpu_ready,2,intensity_threshold_train,1.0,model_regression:random_forest+probe,7.731239623641513,12,10.968122991351583,10.968122991351583,84.79718706771084,-673.1239623641513,False,baseline
extrapolation_top2,extrapolation,gpu_ready,3,intensity_threshold_train,1.0,model_regression:random_forest+probe,8.11086086536335,12,23.550574746439246,23.550574746439253,191.01543506770847,-711.086086536335,False,baseline
extrapolation_top2,extrapolation,gpu_ready,5,intensity_threshold_train,1.0,model_regression:random_forest+probe,8.403996444992345,12,63.20293612535518,63.20293612535518,531.1572505105631,-740.3996444992345,False,baseline
extrapolation_top2,extrapolation,gpu_ready,10,intensity_threshold_train,1.0,model_regression:random_forest+probe,1.048898454444778,12,246.84401047363176,246.8440104736317,258.9143010747429,-4.889845444477792,False,baseline
extrapolation_top2,extrapolation,gpu_ready,30,intensity_threshold_train,1.0,model_regression:random_forest+probe,1.0516964802109958,12,2188.6964635951194,2188.696463595119,2301.844367013241,-5.169648021099582,False,baseline
extrapolation_top2,extrapolation,gpu_ready,100,intensity_threshold_train,1.0,model_regression:random_forest+probe,1.052660289807517,12,24197.010811697925,24197.010811697925,25471.23241351756,-5.2660289807517024,False,baseline
extrapolation_top2,extrapolation,gpu_ready,1000,intensity_threshold_train,1.0,model_regression:random_forest+probe,1.0530297064862657,12,2415086.1723319152,2415086.172331916,2543157.4831897155,-5.30297064862657,False,baseline
extrapolation_top2,extrapolation,none_ready,1,always_cpu_ref,1.0,model_regression:random_forest+probe,1.0,12,50.110055388237264,50.110055388237264,50.110055388237264,0.0,False,baseline
extrapolation_top2,extrapolation,none_ready,2,always_cpu_ref,1.0667498930337074,model_regression:random_forest+probe,1.0667498930337074,12,177.2054471246096,189.0338917651676,189.0338917651676,0.0,False,baseline
extrapolation_top2,extrapolation,none_ready,3,intensity_threshold_train,1.5664250792934262,model_regression:random_forest+probe,1.4504510138755875,12,287.67770289309624,450.62556856526896,417.26241583069145,7.403741612088566,True,model
extrapolation_top2,extrapolation,none_ready,5,intensity_threshold_train,1.125051586596189,model_regression:random_forest+probe,2.237310199912592,12,510.27055929576574,574.080702329026,1141.63352702752,-98.86289896106094,False,baseline
extrapolation_top2,extrapolation,none_ready,10,intensity_threshold_train,1.0,model_regression:random_forest+probe,4.668382259445269,12,967.2287076394058,967.2287076394058,4515.393339569977,-366.8382259445269,False,baseline
extrapolation_top2,extrapolation,none_ready,30,intensity_threshold_train,1.0,model_regression:random_forest+probe,1.0,12,3747.1088846093057,3747.1088846093057,3747.1088846093057,0.0,False,baseline
extrapolation_top2,extrapolation,none_ready,100,intensity_threshold_train,1.0,model_regression:random_forest+probe,1.0,12,28688.52026618156,28688.52026618156,28688.52026618156,0.0,False,baseline
extrapolation_top2,extrapolation,none_ready,1000,intensity_threshold_train,1.0,model_regression:random_forest+probe,1.0,12,2457288.9293595776,2457288.9293595776,2457288.9293595776,0.0,False,baseline
interpolation_fold0,interpolation,cpu_ready,1,always_cpu_ref,1.0,model_regression:random_forest+probe,1.0,20,1.2970269240761343,1.2970269240761343,1.2970269240761343,0.0,False,baseline
interpolation_fold0,interpolation,cpu_ready,2,always_cpu_ref,1.0,model_regression:random_forest+probe,1.0,20,5.188107696304537,5.188107696304537,5.188107696304537,0.0,False,baseline
interpolation_fold0,interpolation,cpu_ready,3,always_cpu_ref,1.0,model_regression:random_forest+probe,1.0,20,11.673242316685208,11.673242316685208,11.673242316685208,0.0,False,baseline
interpolation_fold0,interpolation,cpu_ready,5,k_break_even_table_train,1.0,model_regression:random_forest+probe,1.0,20,32.42567310190335,32.42567310190335,32.42567310190335,0.0,False,baseline
interpolation_fold0,interpolation,cpu_ready,10,k_break_even_table_train,1.0,model_regression:random_forest+probe,1.0,20,129.7026924076134,129.7026924076134,129.7026924076134,0.0,False,baseline
interpolation_fold0,interpolation,cpu_ready,30,k_break_even_table_train,1.0,model_regression:random_forest+probe,1.0,20,436.6810655040845,436.6810655040845,436.6810655040845,0.0,False,baseline
interpolation_fold0,interpolation,cpu_ready,100,k_break_even_table_train,1.0,model_regression:random_forest+probe,1.0,20,1681.4501734906037,1681.4501734906037,1681.4501734906037,0.0,False,baseline
interpolation_fold0,interpolation,cpu_ready,1000,k_break_even_table_train,1.0038388984407685,model_regression:random_forest+probe,1.0625734049088138,20,86816.24917096921,87149.52793454503,92248.63748300874,-5.850989293130193,False,baseline
interpolation_fold0,interpolation,gpu_ready,1,size_threshold_train,1.7726177739891564,model_regression:random_forest+probe,1.7808811353098433,20,0.10472538446405827,0.1856380778888375,0.1865034615801119,-0.46616712536344806,False,baseline
interpolation_fold0,interpolation,gpu_ready,2,size_threshold_train,1.0822269539984075,model_regression:random_forest+probe,1.0905416296686297,20,0.41887999983234514,0.4533232263094124,0.456806077652761,-0.7682931606445953,False,baseline
interpolation_fold0,interpolation,gpu_ready,3,size_threshold_train,1.0248535080395091,model_regression:random_forest+probe,1.033881559538512,20,0.8701505291557192,0.8917768223276741,0.8996325861167764,-0.8809114110633232,False,baseline
interpolation_fold0,interpolation,gpu_ready,5,size_threshold_train,1.0090786804764742,model_regression:random_forest+probe,1.0187527523341835,20,2.260467296841713,2.2809893571572584,2.302857280218907,-0.9587034237153125,False,baseline
