fold,regime,resource_state,k,method,name,with_probe,abstention_rate,tuned,n,accuracy,balanced_accuracy,mcc,precision_migrate_gpu,recall_migrate_gpu,tp_gpu,fp_gpu,fn_gpu,tn_cpu,regret_ratio_mean,regret_ratio_median,regret_ratio_p95,regret_ratio_max,oracle_savings_captured_pct,edp_sum_js,edp_sum_ratio_vs_oracle
interpolation_fold0,interpolation,gpu_ready,30,baseline,always_gpu_ref,,,,20,0.5,0.5,,0.5,1.0,10,10,0,0,4.9271632125369695,1.0291563158193107,21.62866789222002,29.662075500200785,50.0,95.03293301767125,1.3137316447189937
interpolation_fold0,interpolation,gpu_ready,100,baseline,always_gpu_ref,,,,20,0.4,0.5,,0.4,1.0,8,12,0,0,9.109734457587647,1.3198871947088,34.815146472608696,67.7271511170992,40.0,1055.921477974125,1.3321228322310226
interpolation_fold0,interpolation,gpu_ready,1000,baseline,always_gpu_ref,,,,20,0.3,0.5,,0.3,1.0,6,14,0,0,32.64349351698462,5.9099743694198645,120.86150877398025,399.45066252893196,30.0,105592.1477974125,1.3388332116512593
interpolation_fold0,interpolation,gpu_ready,1,baseline,stay_on_ready_device,,,,20,0.9,0.5,,0.9,1.0,18,2,0,0,1.5366062733563688,1.0,5.761797268075361,7.037468806328494,90.0,0.1055921477974125,1.0082765352239091
interpolation_fold0,interpolation,gpu_ready,2,baseline,stay_on_ready_device,,,,20,0.9,0.5,,0.9,1.0,18,2,0,0,1.6575866258178515,1.0,6.035359633022563,9.287540286129575,90.0,0.42236859118965,1.0083283789121016
interpolation_fold0,interpolation,gpu_ready,3,baseline,stay_on_ready_device,,,,20,0.8,0.5,,0.8,1.0,16,4,0,0,1.7532351311827221,1.0,6.157013980481488,10.366234883466324,80.0,0.9503293301767124,1.0921435985320704
interpolation_fold0,interpolation,gpu_ready,5,baseline,stay_on_ready_device,,,,20,0.75,0.5,,0.75,1.0,15,5,0,0,1.989078350763641,1.0,6.269216598660046,11.41535042975039,75.0,2.6398036949353125,1.1678132652587374
interpolation_fold0,interpolation,gpu_ready,10,baseline,stay_on_ready_device,,,,20,0.65,0.5,,0.65,1.0,13,7,0,0,2.6827366028024606,1.0,8.822214018268902,12.344309788405862,65.0,10.55921477974125,1.2594974917279536
interpolation_fold0,interpolation,gpu_ready,30,baseline,stay_on_ready_device,,,,20,0.5,0.5,,0.5,1.0,10,10,0,0,4.9271632125369695,1.0291563158193107,21.62866789222002,29.662075500200785,50.0,95.03293301767125,1.3137316447189937
interpolation_fold0,interpolation,gpu_ready,100,baseline,stay_on_ready_device,,,,20,0.4,0.5,,0.4,1.0,8,12,0,0,9.109734457587647,1.3198871947088,34.815146472608696,67.7271511170992,40.0,1055.921477974125,1.3321228322310226
interpolation_fold0,interpolation,gpu_ready,1000,baseline,stay_on_ready_device,,,,20,0.3,0.5,,0.3,1.0,6,14,0,0,32.64349351698462,5.9099743694198645,120.86150877398025,399.45066252893196,30.0,105592.1477974125,1.3388332116512593
interpolation_fold0,interpolation,gpu_ready,1,baseline,best_constant_device_train,,,,20,0.9,0.5,,0.9,1.0,18,2,0,0,1.5366062733563688,1.0,5.761797268075361,7.037468806328494,90.0,0.1055921477974125,1.0082765352239091
interpolation_fold0,interpolation,gpu_ready,2,baseline,best_constant_device_train,,,,20,0.9,0.5,,0.9,1.0,18,2,0,0,1.6575866258178515,1.0,6.035359633022563,9.287540286129575,90.0,0.42236859118965,1.0083283789121016
interpolation_fold0,interpolation,gpu_ready,3,baseline,best_constant_device_train,,,,20,0.8,0.5,,0.8,1.0,16,4,0,0,1.7532351311827221,1.0,6.157013980481488,10.366234883466324,80.0,0.9503293301767124,1.0921435985320704
interpolation_fold0,interpolation,gpu_ready,5,baseline,best_constant_device_train,,,,20,0.75,0.5,,0.75,1.0,15,5,0,0,1.989078350763641,1.0,6.269216598660046,11.41535042975039,75.0,2.6398036949353125,1.1678132652587374
interpolation_fold0,interpolation,gpu_ready,10,baseline,best_constant_device_train,,,,20,0.65,0.5,,0.65,1.0,13,7,0,0,2.6827366028024606,1.0,8.822214018268902,12.344309788405862,65.0,10.55921477974125,1.2594974917279536
interpolation_fold0,interpolation,gpu_ready,30,baseline,best_constant_device_train,,,,20,0.5,0.5,,0.5,1.0,10,10,0,0,4.9271632125369695,1.0291563158193107,21.62866789222002,29.662075500200785,50.0,95.03293301767125,1.3137316447189937
